"Step","train_75_AR5 - val_batch_energy_rel_error","train_75_AR5 - val_batch_energy_rel_error__MIN","train_75_AR5 - val_batch_energy_rel_error__MAX","train_75 - val_batch_energy_rel_error","train_75 - val_batch_energy_rel_error__MIN","train_75 - val_batch_energy_rel_error__MAX"
"1888","0.40869948267936707","0.40869948267936707","0.40869948267936707","","",""
"1889","0.4137343168258667","0.4137343168258667","0.4137343168258667","","",""
"1891","0.34640824794769287","0.34640824794769287","0.34640824794769287","","",""
"1892","0.291300892829895","0.291300892829895","0.291300892829895","","",""
"1893","0.22767215967178345","0.22767215967178345","0.22767215967178345","","",""
"1895","0.15635168552398682","0.15635168552398682","0.15635168552398682","","",""
"1896","0.10652709007263184","0.10652709007263184","0.10652709007263184","","",""
"1897","0.09907712042331696","0.09907712042331696","0.09907712042331696","0.13625720143318176","0.13625720143318176","0.13625720143318176"
"1898","","","","0.10931544750928879","0.10931544750928879","0.10931544750928879"
"1899","0.08122218400239944","0.08122218400239944","0.08122218400239944","","",""
"1900","","","","0.28483858704566956","0.28483858704566956","0.28483858704566956"
"1901","","","","0.274321585893631","0.274321585893631","0.274321585893631"
"1902","0.07453888654708862","0.07453888654708862","0.07453888654708862","0.23620101809501648","0.23620101809501648","0.23620101809501648"
"1904","0.07543598115444183","0.07543598115444183","0.07543598115444183","0.15540403127670288","0.15540403127670288","0.15540403127670288"
"1905","0.07239212095737457","0.07239212095737457","0.07239212095737457","0.11517292261123657","0.11517292261123657","0.11517292261123657"
"1906","0.07780138403177261","0.07780138403177261","0.07780138403177261","0.1174030601978302","0.1174030601978302","0.1174030601978302"
"1907","0.063971146941185","0.063971146941185","0.063971146941185","","",""
"1908","0.06993938237428665","0.06993938237428665","0.06993938237428665","0.09587880969047546","0.09587880969047546","0.09587880969047546"
"1909","0.06573142111301422","0.06573142111301422","0.06573142111301422","","",""
"1911","","","","0.10228049010038376","0.10228049010038376","0.10228049010038376"
"1913","0.05655751749873161","0.05655751749873161","0.05655751749873161","0.09456153959035873","0.09456153959035873","0.09456153959035873"
"1914","0.05907094106078148","0.05907094106078148","0.05907094106078148","0.10207630693912506","0.10207630693912506","0.10207630693912506"
"1915","0.06095072627067566","0.06095072627067566","0.06095072627067566","0.09700187295675278","0.09700187295675278","0.09700187295675278"
"1916","0.07359494268894196","0.07359494268894196","0.07359494268894196","0.09286931157112122","0.09286931157112122","0.09286931157112122"
"1917","","","","0.10269582271575928","0.10269582271575928","0.10269582271575928"
"1918","","","","0.09031115472316742","0.09031115472316742","0.09031115472316742"
"1919","0.10928129404783249","0.10928129404783249","0.10928129404783249","","",""
"1921","0.13464750349521637","0.13464750349521637","0.13464750349521637","","",""
"1922","0.15002788603305817","0.15002788603305817","0.15002788603305817","0.08578207343816757","0.08578207343816757","0.08578207343816757"
"1923","0.17790597677230835","0.17790597677230835","0.17790597677230835","0.08455134183168411","0.08455134183168411","0.08455134183168411"
"1924","0.23193955421447754","0.23193955421447754","0.23193955421447754","0.07987311482429504","0.07987311482429504","0.07987311482429504"
"1925","","","","0.08507779240608215","0.08507779240608215","0.08507779240608215"
"1927","0.42171669006347656","0.42171669006347656","0.42171669006347656","","",""
"1928","0.34201744198799133","0.34201744198799133","0.34201744198799133","0.0813109278678894","0.0813109278678894","0.0813109278678894"
"1930","0.2722552418708801","0.2722552418708801","0.2722552418708801","0.09973757714033127","0.09973757714033127","0.09973757714033127"
"1931","","","","0.10201394557952881","0.10201394557952881","0.10201394557952881"
"1932","0.14109650254249573","0.14109650254249573","0.14109650254249573","0.13205492496490479","0.13205492496490479","0.13205492496490479"
"1933","0.14317068457603455","0.14317068457603455","0.14317068457603455","0.1273699849843979","0.1273699849843979","0.1273699849843979"
"1934","0.10542826354503632","0.10542826354503632","0.10542826354503632","","",""
"1936","0.1066226214170456","0.1066226214170456","0.1066226214170456","0.11018787324428558","0.11018787324428558","0.11018787324428558"
"1937","","","","0.11943976581096649","0.11943976581096649","0.11943976581096649"
"1938","0.09204599261283875","0.09204599261283875","0.09204599261283875","","",""
"1939","0.09263861179351807","0.09263861179351807","0.09263861179351807","0.2507840394973755","0.2507840394973755","0.2507840394973755"
"1940","0.0884743258357048","0.0884743258357048","0.0884743258357048","","",""
