"epoch","train_100 - val_mean_pred_energy_drift","train_100 - val_mean_pred_energy_drift__MIN","train_100 - val_mean_pred_energy_drift__MAX","train_100 - _step","train_100 - _step__MIN","train_100 - _step__MAX","train_75 - val_mean_pred_energy_drift","train_75 - val_mean_pred_energy_drift__MIN","train_75 - val_mean_pred_energy_drift__MAX","train_75 - _step","train_75 - _step__MIN","train_75 - _step__MAX","train_50 - val_mean_pred_energy_drift","train_50 - val_mean_pred_energy_drift__MIN","train_50 - val_mean_pred_energy_drift__MAX","train_50 - _step","train_50 - _step__MIN","train_50 - _step__MAX","train_25 - val_mean_pred_energy_drift","train_25 - val_mean_pred_energy_drift__MIN","train_25 - val_mean_pred_energy_drift__MAX","train_25 - _step","train_25 - _step__MIN","train_25 - _step__MAX","train_10 - val_mean_pred_energy_drift","train_10 - val_mean_pred_energy_drift__MIN","train_10 - val_mean_pred_energy_drift__MAX","train_10 - _step","train_10 - _step__MIN","train_10 - _step__MAX"
"0","0.6766396760940552","0.6766396760940552","0.6766396760940552","1879","1879","1879","0.28830432891845703","0.28830432891845703","0.28830432891845703","1413","1413","1413","0.5726144313812256","0.5726144313812256","0.5726144313812256","948","948","948","0.8007696270942688","0.8007696270942688","0.8007696270942688","482","482","482","0.7019699811935425","0.7019699811935425","0.7019699811935425","203","203","203"
"1","0.24074608087539673","0.24074608087539673","0.24074608087539673","3750","3750","3750","0.3029167056083679","0.3029167056083679","0.3029167056083679","2818","2818","2818","0.3822508454322815","0.3822508454322815","0.3822508454322815","1888","1888","1888","0.25798848271369934","0.25798848271369934","0.25798848271369934","956","956","956","0.9854480624198914","0.9854480624198914","0.9854480624198914","398","398","398"
"2","0.19352200627326965","0.19352200627326965","0.19352200627326965","5621","5621","5621","0.22730590403079987","0.22730590403079987","0.22730590403079987","4223","4223","4223","0.23351247608661652","0.23351247608661652","0.23351247608661652","2828","2828","2828","0.19789323210716248","0.19789323210716248","0.19789323210716248","1430","1430","1430","1.1651517152786255","1.1651517152786255","1.1651517152786255","593","593","593"
"3","0.33081960678100586","0.33081960678100586","0.33081960678100586","7492","7492","7492","0.10219895839691162","0.10219895839691162","0.10219895839691162","5628","5628","5628","0.13465356826782227","0.13465356826782227","0.13465356826782227","3768","3768","3768","0.360989511013031","0.360989511013031","0.360989511013031","1904","1904","1904","0.6293226480484009","0.6293226480484009","0.6293226480484009","788","788","788"
"4","0.13407723605632782","0.13407723605632782","0.13407723605632782","9363","9363","9363","0.1666763424873352","0.1666763424873352","0.1666763424873352","7033","7033","7033","0.19449277222156525","0.19449277222156525","0.19449277222156525","4708","4708","4708","0.47680890560150146","0.47680890560150146","0.47680890560150146","2378","2378","2378","0.44216081500053406","0.44216081500053406","0.44216081500053406","983","983","983"
"5","0.05544135719537735","0.05544135719537735","0.05544135719537735","11234","11234","11234","0.08334052562713623","0.08334052562713623","0.08334052562713623","8438","8438","8438","0.11967334896326065","0.11967334896326065","0.11967334896326065","5648","5648","5648","0.24474361538887024","0.24474361538887024","0.24474361538887024","2852","2852","2852","0.1943264752626419","0.1943264752626419","0.1943264752626419","1178","1178","1178"
"6","0.08442255854606628","0.08442255854606628","0.08442255854606628","13105","13105","13105","0.09838507324457169","0.09838507324457169","0.09838507324457169","9843","9843","9843","0.12031761556863785","0.12031761556863785","0.12031761556863785","6588","6588","6588","0.30722755193710327","0.30722755193710327","0.30722755193710327","3326","3326","3326","0.5104714035987854","0.5104714035987854","0.5104714035987854","1373","1373","1373"
"7","0.12878650426864624","0.12878650426864624","0.12878650426864624","14976","14976","14976","0.24221427738666534","0.24221427738666534","0.24221427738666534","11248","11248","11248","0.09032221138477325","0.09032221138477325","0.09032221138477325","7528","7528","7528","0.4118659198284149","0.4118659198284149","0.4118659198284149","3800","3800","3800","1.2419801950454712","1.2419801950454712","1.2419801950454712","1568","1568","1568"
"8","0.053488872945308685","0.053488872945308685","0.053488872945308685","16847","16847","16847","0.1020074412226677","0.1020074412226677","0.1020074412226677","12653","12653","12653","0.3571568727493286","0.3571568727493286","0.3571568727493286","8468","8468","8468","0.22017592191696167","0.22017592191696167","0.22017592191696167","4274","4274","4274","0.5723145008087158","0.5723145008087158","0.5723145008087158","1763","1763","1763"
"9","0.08702494949102402","0.08702494949102402","0.08702494949102402","18718","18718","18718","0.23538589477539062","0.23538589477539062","0.23538589477539062","14058","14058","14058","0.09478666633367538","0.09478666633367538","0.09478666633367538","9408","9408","9408","0.24271292984485626","0.24271292984485626","0.24271292984485626","4748","4748","4748","0.34187325835227966","0.34187325835227966","0.34187325835227966","1958","1958","1958"
"10","0.07848721742630005","0.07848721742630005","0.07848721742630005","20594","20594","20594","0.14763803780078888","0.14763803780078888","0.14763803780078888","15468","15468","15468","0.09366811066865921","0.09366811066865921","0.09366811066865921","10353","10353","10353","0.15928269922733307","0.15928269922733307","0.15928269922733307","5227","5227","5227","0.23428641259670258","0.23428641259670258","0.23428641259670258","2158","2158","2158"
"11","0.068781279027462","0.068781279027462","0.068781279027462","22465","22465","22465","0.06571026891469955","0.06571026891469955","0.06571026891469955","16873","16873","16873","0.08239014446735382","0.08239014446735382","0.08239014446735382","11293","11293","11293","0.1690477579832077","0.1690477579832077","0.1690477579832077","5701","5701","5701","0.1915677934885025","0.1915677934885025","0.1915677934885025","2353","2353","2353"
"12","0.042738381773233414","0.042738381773233414","0.042738381773233414","24336","24336","24336","0.13177742063999176","0.13177742063999176","0.13177742063999176","18278","18278","18278","0.05965324863791466","0.05965324863791466","0.05965324863791466","12233","12233","12233","0.07772236317396164","0.07772236317396164","0.07772236317396164","6175","6175","6175","0.2223937064409256","0.2223937064409256","0.2223937064409256","2548","2548","2548"
"13","0.07739206403493881","0.07739206403493881","0.07739206403493881","26207","26207","26207","0.16555927693843842","0.16555927693843842","0.16555927693843842","19683","19683","19683","0.06778103113174438","0.06778103113174438","0.06778103113174438","13173","13173","13173","0.14597772061824799","0.14597772061824799","0.14597772061824799","6649","6649","6649","0.4227331578731537","0.4227331578731537","0.4227331578731537","2743","2743","2743"
"14","0.1334991157054901","0.1334991157054901","0.1334991157054901","28078","28078","28078","0.03810462728142738","0.03810462728142738","0.03810462728142738","21088","21088","21088","0.16087548434734344","0.16087548434734344","0.16087548434734344","14113","14113","14113","0.15781517326831818","0.15781517326831818","0.15781517326831818","7123","7123","7123","0.09323940426111221","0.09323940426111221","0.09323940426111221","2938","2938","2938"
"15","0.041525330394506454","0.041525330394506454","0.041525330394506454","29949","29949","29949","0.04436340928077698","0.04436340928077698","0.04436340928077698","22493","22493","22493","0.0942428708076477","0.0942428708076477","0.0942428708076477","15053","15053","15053","0.19294054806232452","0.19294054806232452","0.19294054806232452","7597","7597","7597","0.1664479523897171","0.1664479523897171","0.1664479523897171","3133","3133","3133"
"16","0.06833957135677338","0.06833957135677338","0.06833957135677338","31820","31820","31820","0.07877939939498901","0.07877939939498901","0.07877939939498901","23898","23898","23898","0.06735667586326599","0.06735667586326599","0.06735667586326599","15993","15993","15993","0.0697193443775177","0.0697193443775177","0.0697193443775177","8071","8071","8071","0.26067548990249634","0.26067548990249634","0.26067548990249634","3328","3328","3328"
"17","0.04079470783472061","0.04079470783472061","0.04079470783472061","33691","33691","33691","0.036055054515600204","0.036055054515600204","0.036055054515600204","25303","25303","25303","0.10707761347293854","0.10707761347293854","0.10707761347293854","16933","16933","16933","0.38409683108329773","0.38409683108329773","0.38409683108329773","8545","8545","8545","0.15876461565494537","0.15876461565494537","0.15876461565494537","3523","3523","3523"
"18","0.135282501578331","0.135282501578331","0.135282501578331","35562","35562","35562","0.043132681399583817","0.043132681399583817","0.043132681399583817","26708","26708","26708","0.17454937100410461","0.17454937100410461","0.17454937100410461","17873","17873","17873","0.06354518234729767","0.06354518234729767","0.06354518234729767","9019","9019","9019","0.2626778781414032","0.2626778781414032","0.2626778781414032","3718","3718","3718"
"19","0.053660668432712555","0.053660668432712555","0.053660668432712555","37433","37433","37433","0.09226112812757492","0.09226112812757492","0.09226112812757492","28113","28113","28113","0.08717896044254303","0.08717896044254303","0.08717896044254303","18813","18813","18813","0.23344287276268005","0.23344287276268005","0.23344287276268005","9493","9493","9493","0.40968576073646545","0.40968576073646545","0.40968576073646545","3913","3913","3913"
"20","0.08455901592969894","0.08455901592969894","0.08455901592969894","39309","39309","39309","0.11556771397590637","0.11556771397590637","0.11556771397590637","29523","29523","29523","0.15429234504699707","0.15429234504699707","0.15429234504699707","19758","19758","19758","0.38561296463012695","0.38561296463012695","0.38561296463012695","9972","9972","9972","0.3598731458187103","0.3598731458187103","0.3598731458187103","4113","4113","4113"
"21","0.07406827062368393","0.07406827062368393","0.07406827062368393","41180","41180","41180","0.07552282512187958","0.07552282512187958","0.07552282512187958","30928","30928","30928","0.11443092674016953","0.11443092674016953","0.11443092674016953","20698","20698","20698","0.14044368267059326","0.14044368267059326","0.14044368267059326","10446","10446","10446","0.3434331715106964","0.3434331715106964","0.3434331715106964","4308","4308","4308"
"22","0.05683838948607445","0.05683838948607445","0.05683838948607445","43051","43051","43051","0.03279230743646622","0.03279230743646622","0.03279230743646622","32333","32333","32333","0.13713684678077698","0.13713684678077698","0.13713684678077698","21638","21638","21638","0.08260885626077652","0.08260885626077652","0.08260885626077652","10920","10920","10920","0.13480444252490997","0.13480444252490997","0.13480444252490997","4503","4503","4503"
