"epoch","train_100 - val_energy_rel_error_rollout1","train_100 - val_energy_rel_error_rollout1__MIN","train_100 - val_energy_rel_error_rollout1__MAX","train_100 - _step","train_100 - _step__MIN","train_100 - _step__MAX","train_75 - val_energy_rel_error_rollout1","train_75 - val_energy_rel_error_rollout1__MIN","train_75 - val_energy_rel_error_rollout1__MAX","train_75 - _step","train_75 - _step__MIN","train_75 - _step__MAX","train_50 - val_energy_rel_error_rollout1","train_50 - val_energy_rel_error_rollout1__MIN","train_50 - val_energy_rel_error_rollout1__MAX","train_50 - _step","train_50 - _step__MIN","train_50 - _step__MAX","train_25 - val_energy_rel_error_rollout1","train_25 - val_energy_rel_error_rollout1__MIN","train_25 - val_energy_rel_error_rollout1__MAX","train_25 - _step","train_25 - _step__MIN","train_25 - _step__MAX","train_10 - val_energy_rel_error_rollout1","train_10 - val_energy_rel_error_rollout1__MIN","train_10 - val_energy_rel_error_rollout1__MAX","train_10 - _step","train_10 - _step__MIN","train_10 - _step__MAX"
"0","0.04576719179749489","0.04576719179749489","0.04576719179749489","1879","1879","1879","0.0329098217189312","0.0329098217189312","0.0329098217189312","1413","1413","1413","0.040153391659259796","0.040153391659259796","0.040153391659259796","948","948","948","0.07229162752628326","0.07229162752628326","0.07229162752628326","482","482","482","0.11598895490169525","0.11598895490169525","0.11598895490169525","203","203","203"
"1","0.022393379360437393","0.022393379360437393","0.022393379360437393","3750","3750","3750","0.023035185411572456","0.023035185411572456","0.023035185411572456","2818","2818","2818","0.046745818108320236","0.046745818108320236","0.046745818108320236","1888","1888","1888","0.06298424303531647","0.06298424303531647","0.06298424303531647","956","956","956","0.05811212211847305","0.05811212211847305","0.05811212211847305","398","398","398"
"2","0.018653636798262596","0.018653636798262596","0.018653636798262596","5621","5621","5621","0.020843377336859703","0.020843377336859703","0.020843377336859703","4223","4223","4223","0.036107469350099564","0.036107469350099564","0.036107469350099564","2828","2828","2828","0.030033940449357033","0.030033940449357033","0.030033940449357033","1430","1430","1430","0.05958589166402817","0.05958589166402817","0.05958589166402817","593","593","593"
"3","0.031123649328947067","0.031123649328947067","0.031123649328947067","7492","7492","7492","0.023088805377483368","0.023088805377483368","0.023088805377483368","5628","5628","5628","0.04212702065706253","0.04212702065706253","0.04212702065706253","3768","3768","3768","0.03569352254271507","0.03569352254271507","0.03569352254271507","1904","1904","1904","0.06676103919744492","0.06676103919744492","0.06676103919744492","788","788","788"
"4","0.019985420629382133","0.019985420629382133","0.019985420629382133","9363","9363","9363","0.032308101654052734","0.032308101654052734","0.032308101654052734","7033","7033","7033","0.02819693274796009","0.02819693274796009","0.02819693274796009","4708","4708","4708","0.03596266359090805","0.03596266359090805","0.03596266359090805","2378","2378","2378","0.05153851583600044","0.05153851583600044","0.05153851583600044","983","983","983"
"5","0.01047361921519041","0.01047361921519041","0.01047361921519041","11234","11234","11234","0.0152107710018754","0.0152107710018754","0.0152107710018754","8438","8438","8438","0.02023555152118206","0.02023555152118206","0.02023555152118206","5648","5648","5648","0.025471843779087067","0.025471843779087067","0.025471843779087067","2852","2852","2852","0.034657031297683716","0.034657031297683716","0.034657031297683716","1178","1178","1178"
"6","0.018855512142181396","0.018855512142181396","0.018855512142181396","13105","13105","13105","0.01719839498400688","0.01719839498400688","0.01719839498400688","9843","9843","9843","0.0175442174077034","0.0175442174077034","0.0175442174077034","6588","6588","6588","0.024944160133600235","0.024944160133600235","0.024944160133600235","3326","3326","3326","0.06398756802082062","0.06398756802082062","0.06398756802082062","1373","1373","1373"
"7","0.015120754949748516","0.015120754949748516","0.015120754949748516","14976","14976","14976","0.02537037804722786","0.02537037804722786","0.02537037804722786","11248","11248","11248","0.014081998728215694","0.014081998728215694","0.014081998728215694","7528","7528","7528","0.030483471229672432","0.030483471229672432","0.030483471229672432","3800","3800","3800","0.055029384791851044","0.055029384791851044","0.055029384791851044","1568","1568","1568"
"8","0.011442123912274837","0.011442123912274837","0.011442123912274837","16847","16847","16847","0.013595815747976303","0.013595815747976303","0.013595815747976303","12653","12653","12653","0.031064018607139587","0.031064018607139587","0.031064018607139587","8468","8468","8468","0.01839769259095192","0.01839769259095192","0.01839769259095192","4274","4274","4274","0.03614204004406929","0.03614204004406929","0.03614204004406929","1763","1763","1763"
"9","0.014042897149920464","0.014042897149920464","0.014042897149920464","18718","18718","18718","0.02322939969599247","0.02322939969599247","0.02322939969599247","14058","14058","14058","0.01516188308596611","0.01516188308596611","0.01516188308596611","9408","9408","9408","0.023709839209914207","0.023709839209914207","0.023709839209914207","4748","4748","4748","0.0337640680372715","0.0337640680372715","0.0337640680372715","1958","1958","1958"
"10","0.01983906514942646","0.01983906514942646","0.01983906514942646","20594","20594","20594","0.0165872760117054","0.0165872760117054","0.0165872760117054","15468","15468","15468","0.01503225788474083","0.01503225788474083","0.01503225788474083","10353","10353","10353","0.028287094086408615","0.028287094086408615","0.028287094086408615","5227","5227","5227","0.0410320945084095","0.0410320945084095","0.0410320945084095","2158","2158","2158"
"11","0.011993451043963432","0.011993451043963432","0.011993451043963432","22465","22465","22465","0.012998786754906178","0.012998786754906178","0.012998786754906178","16873","16873","16873","0.014105751179158688","0.014105751179158688","0.014105751179158688","11293","11293","11293","0.02797894924879074","0.02797894924879074","0.02797894924879074","5701","5701","5701","0.021491698920726776","0.021491698920726776","0.021491698920726776","2353","2353","2353"
"12","0.009780975989997387","0.009780975989997387","0.009780975989997387","24336","24336","24336","0.017489833757281303","0.017489833757281303","0.017489833757281303","18278","18278","18278","0.01789465919137001","0.01789465919137001","0.01789465919137001","12233","12233","12233","0.022049320861697197","0.022049320861697197","0.022049320861697197","6175","6175","6175","0.035394784063100815","0.035394784063100815","0.035394784063100815","2548","2548","2548"
"13","0.011449907906353474","0.011449907906353474","0.011449907906353474","26207","26207","26207","0.02234598994255066","0.02234598994255066","0.02234598994255066","19683","19683","19683","0.017131177708506584","0.017131177708506584","0.017131177708506584","13173","13173","13173","0.023590603843331337","0.023590603843331337","0.023590603843331337","6649","6649","6649","0.04722161591053009","0.04722161591053009","0.04722161591053009","2743","2743","2743"
"14","0.01289332564920187","0.01289332564920187","0.01289332564920187","28078","28078","28078","0.007516968995332718","0.007516968995332718","0.007516968995332718","21088","21088","21088","0.019777873530983925","0.019777873530983925","0.019777873530983925","14113","14113","14113","0.0214255228638649","0.0214255228638649","0.0214255228638649","7123","7123","7123","0.030761243775486946","0.030761243775486946","0.030761243775486946","2938","2938","2938"
"15","0.011992184445261955","0.011992184445261955","0.011992184445261955","29949","29949","29949","0.009377299807965755","0.009377299807965755","0.009377299807965755","22493","22493","22493","0.014744090847671032","0.014744090847671032","0.014744090847671032","15053","15053","15053","0.024202056229114532","0.024202056229114532","0.024202056229114532","7597","7597","7597","0.03654804825782776","0.03654804825782776","0.03654804825782776","3133","3133","3133"
"16","0.010011550039052963","0.010011550039052963","0.010011550039052963","31820","31820","31820","0.011155864223837852","0.011155864223837852","0.011155864223837852","23898","23898","23898","0.020380442962050438","0.020380442962050438","0.020380442962050438","15993","15993","15993","0.02213447354733944","0.02213447354733944","0.02213447354733944","8071","8071","8071","0.027066616341471672","0.027066616341471672","0.027066616341471672","3328","3328","3328"
"17","0.009730103425681591","0.009730103425681591","0.009730103425681591","33691","33691","33691","0.007829532027244568","0.007829532027244568","0.007829532027244568","25303","25303","25303","0.025993917137384415","0.025993917137384415","0.025993917137384415","16933","16933","16933","0.027400391176342964","0.027400391176342964","0.027400391176342964","8545","8545","8545","0.029538283124566078","0.029538283124566078","0.029538283124566078","3523","3523","3523"
"18","0.01963510736823082","0.01963510736823082","0.01963510736823082","35562","35562","35562","0.010389337316155434","0.010389337316155434","0.010389337316155434","26708","26708","26708","0.02164495922625065","0.02164495922625065","0.02164495922625065","17873","17873","17873","0.017120840027928352","0.017120840027928352","0.017120840027928352","9019","9019","9019","0.024962816387414932","0.024962816387414932","0.024962816387414932","3718","3718","3718"
"19","0.009382791817188263","0.009382791817188263","0.009382791817188263","37433","37433","37433","0.013275022618472576","0.013275022618472576","0.013275022618472576","28113","28113","28113","0.01797373779118061","0.01797373779118061","0.01797373779118061","18813","18813","18813","0.025609442964196205","0.025609442964196205","0.025609442964196205","9493","9493","9493","0.03021656721830368","0.03021656721830368","0.03021656721830368","3913","3913","3913"
"20","0.022631214931607246","0.022631214931607246","0.022631214931607246","39309","39309","39309","0.012885095551609993","0.012885095551609993","0.012885095551609993","29523","29523","29523","0.025715114548802376","0.025715114548802376","0.025715114548802376","19758","19758","19758","0.019267668947577477","0.019267668947577477","0.019267668947577477","9972","9972","9972","0.04028325527906418","0.04028325527906418","0.04028325527906418","4113","4113","4113"
"21","0.011400778777897358","0.011400778777897358","0.011400778777897358","41180","41180","41180","0.01367209479212761","0.01367209479212761","0.01367209479212761","30928","30928","30928","0.015706758946180344","0.015706758946180344","0.015706758946180344","20698","20698","20698","0.017593326047062874","0.017593326047062874","0.017593326047062874","10446","10446","10446","0.028517119586467743","0.028517119586467743","0.028517119586467743","4308","4308","4308"
"22","0.007261268328875303","0.007261268328875303","0.007261268328875303","43051","43051","43051","0.008975976146757603","0.008975976146757603","0.008975976146757603","32333","32333","32333","0.02224150113761425","0.02224150113761425","0.02224150113761425","21638","21638","21638","0.013953317888081074","0.013953317888081074","0.013953317888081074","10920","10920","10920","0.022192755714058876","0.022192755714058876","0.022192755714058876","4503","4503","4503"
"23","0.007217150181531906","0.007217150181531906","0.007217150181531906","44922","44922","44922","0.016954781487584114","0.016954781487584114","0.016954781487584114","33738","33738","33738","0.015586256980895996","0.015586256980895996","0.015586256980895996","22578","22578","22578","0.0212877094745636","0.0212877094745636","0.0212877094745636","11394","11394","11394","0.03685302287340164","0.03685302287340164","0.03685302287340164","4698","4698","4698"
"24","0.009924161247909069","0.009924161247909069","0.009924161247909069","46793","46793","46793","0.011928528547286987","0.011928528547286987","0.011928528547286987","35143","35143","35143","0.013198481872677803","0.013198481872677803","0.013198481872677803","23518","23518","23518","0.010712316259741783","0.010712316259741783","0.010712316259741783","11868","11868","11868","0.04586917161941528","0.04586917161941528","0.04586917161941528","4893","4893","4893"
"25","0.014783404767513275","0.014783404767513275","0.014783404767513275","48664","48664","48664","0.01052741426974535","0.01052741426974535","0.01052741426974535","36548","36548","36548","0.008255556225776672","0.008255556225776672","0.008255556225776672","24458","24458","24458","0.013499235734343529","0.013499235734343529","0.013499235734343529","12342","12342","12342","0.028381047770380974","0.028381047770380974","0.028381047770380974","5088","5088","5088"
"26","0.00650447141379118","0.00650447141379118","0.00650447141379118","50535","50535","50535","0.010093307122588158","0.010093307122588158","0.010093307122588158","37953","37953","37953","0.010057168081402779","0.010057168081402779","0.010057168081402779","25398","25398","25398","0.011041976511478424","0.011041976511478424","0.011041976511478424","12816","12816","12816","0.023550955578684807","0.023550955578684807","0.023550955578684807","5283","5283","5283"
"27","0.008588739670813084","0.008588739670813084","0.008588739670813084","52406","52406","52406","0.006383268628269434","0.006383268628269434","0.006383268628269434","39358","39358","39358","0.011401822790503502","0.011401822790503502","0.011401822790503502","26338","26338","26338","0.02366284839808941","0.02366284839808941","0.02366284839808941","13290","13290","13290","0.02581610530614853","0.02581610530614853","0.02581610530614853","5478","5478","5478"
"28","0.01054734643548727","0.01054734643548727","0.01054734643548727","54277","54277","54277","0.011137374676764011","0.011137374676764011","0.011137374676764011","40763","40763","40763","0.014235319569706917","0.014235319569706917","0.014235319569706917","27278","27278","27278","0.01240477804094553","0.01240477804094553","0.01240477804094553","13764","13764","13764","0.022692544385790825","0.022692544385790825","0.022692544385790825","5673","5673","5673"
"29","0.008237147703766823","0.008237147703766823","0.008237147703766823","56148","56148","56148","0.016689574345946312","0.016689574345946312","0.016689574345946312","42168","42168","42168","0.013135491870343685","0.013135491870343685","0.013135491870343685","28218","28218","28218","0.03705652058124542","0.03705652058124542","0.03705652058124542","14238","14238","14238","0.04721469059586525","0.04721469059586525","0.04721469059586525","5868","5868","5868"
"30","0.012273323722183704","0.012273323722183704","0.012273323722183704","58024","58024","58024","0.01026688888669014","0.01026688888669014","0.01026688888669014","43578","43578","43578","0.007973636500537395","0.007973636500537395","0.007973636500537395","29163","29163","29163","0.01962938718497753","0.01962938718497753","0.01962938718497753","14717","14717","14717","0.028972120955586433","0.028972120955586433","0.028972120955586433","6068","6068","6068"
"31","0.006357158999890089","0.006357158999890089","0.006357158999890089","59895","59895","59895","0.00898792129009962","0.00898792129009962","0.00898792129009962","44983","44983","44983","0.009323001839220524","0.009323001839220524","0.009323001839220524","30103","30103","30103","0.02051057666540146","0.02051057666540146","0.02051057666540146","15191","15191","15191","0.026612568646669388","0.026612568646669388","0.026612568646669388","6263","6263","6263"
"32","0.0070940107107162476","0.0070940107107162476","0.0070940107107162476","61766","61766","61766","0.00804863404482603","0.00804863404482603","0.00804863404482603","46388","46388","46388","0.011906672269105911","0.011906672269105911","0.011906672269105911","31043","31043","31043","0.017455600202083588","0.017455600202083588","0.017455600202083588","15665","15665","15665","0.03078879602253437","0.03078879602253437","0.03078879602253437","6458","6458","6458"
"33","0.006784746889024973","0.006784746889024973","0.006784746889024973","63637","63637","63637","0.008932739496231079","0.008932739496231079","0.008932739496231079","47793","47793","47793","0.01186353899538517","0.01186353899538517","0.01186353899538517","31983","31983","31983","0.013583522289991379","0.013583522289991379","0.013583522289991379","16139","16139","16139","0.029501449316740036","0.029501449316740036","0.029501449316740036","6653","6653","6653"
"34","0.007837072014808655","0.007837072014808655","0.007837072014808655","65508","65508","65508","0.006585569120943546","0.006585569120943546","0.006585569120943546","49198","49198","49198","0.021376529708504677","0.021376529708504677","0.021376529708504677","32923","32923","32923","0.011187713593244553","0.011187713593244553","0.011187713593244553","16613","16613","16613","0.028683515265583992","0.028683515265583992","0.028683515265583992","6848","6848","6848"
"35","0.01159181259572506","0.01159181259572506","0.01159181259572506","67379","67379","67379","0.008090485818684101","0.008090485818684101","0.008090485818684101","50603","50603","50603","0.012799384072422981","0.012799384072422981","0.012799384072422981","33863","33863","33863","0.02314189076423645","0.02314189076423645","0.02314189076423645","17087","17087","17087","0.03051193431019783","0.03051193431019783","0.03051193431019783","7043","7043","7043"
"36","0.006384385284036398","0.006384385284036398","0.006384385284036398","69250","69250","69250","0.01055863220244646","0.01055863220244646","0.01055863220244646","52008","52008","52008","0.009623540565371513","0.009623540565371513","0.009623540565371513","34803","34803","34803","0.019716940820217133","0.019716940820217133","0.019716940820217133","17561","17561","17561","0.04842951148748398","0.04842951148748398","0.04842951148748398","7238","7238","7238"
"37","0.008619186468422413","0.008619186468422413","0.008619186468422413","71121","71121","71121","0.006433375179767609","0.006433375179767609","0.006433375179767609","53413","53413","53413","0.010575493797659874","0.010575493797659874","0.010575493797659874","35743","35743","35743","0.01895901933312416","0.01895901933312416","0.01895901933312416","18035","18035","18035","0.02885449305176735","0.02885449305176735","0.02885449305176735","7433","7433","7433"
