"epoch","train_100 - train_loss_epoch","train_100 - train_loss_epoch__MIN","train_100 - train_loss_epoch__MAX","train_100 - _step","train_100 - _step__MIN","train_100 - _step__MAX","train_75 - train_loss_epoch","train_75 - train_loss_epoch__MIN","train_75 - train_loss_epoch__MAX","train_75 - _step","train_75 - _step__MIN","train_75 - _step__MAX","train_50 - train_loss_epoch","train_50 - train_loss_epoch__MIN","train_50 - train_loss_epoch__MAX","train_50 - _step","train_50 - _step__MIN","train_50 - _step__MAX","train_25 - train_loss_epoch","train_25 - train_loss_epoch__MIN","train_25 - train_loss_epoch__MAX","train_25 - _step","train_25 - _step__MIN","train_25 - _step__MAX","train_10 - train_loss_epoch","train_10 - train_loss_epoch__MIN","train_10 - train_loss_epoch__MAX","train_10 - _step","train_10 - _step__MIN","train_10 - _step__MAX"
"0","0.00012969398812856525","0.00012969398812856525","0.00012969398812856525","1880","1880","1880","0.00016404502093791962","0.00016404502093791962","0.00016404502093791962","1414","1414","1414","0.0002225500502390787","0.0002225500502390787","0.0002225500502390787","949","949","949","0.00040663735126145184","0.00040663735126145184","0.00040663735126145184","483","483","483","0.0007747967611066997","0.0007747967611066997","0.0007747967611066997","204","204","204"
"1","0.0000201686179934768","0.0000201686179934768","0.0000201686179934768","3751","3751","3751","0.000024266686523333192","0.000024266686523333192","0.000024266686523333192","2819","2819","2819","0.00003449085124884732","0.00003449085124884732","0.00003449085124884732","1889","1889","1889","0.00006585467053810135","0.00006585467053810135","0.00006585467053810135","957","957","957","0.00012843242438975722","0.00012843242438975722","0.00012843242438975722","399","399","399"
"2","0.00001348314526694594","0.00001348314526694594","0.00001348314526694594","5622","5622","5622","0.000016527537809452042","0.000016527537809452042","0.000016527537809452042","4224","4224","4224","0.000023730828615953214","0.000023730828615953214","0.000023730828615953214","2829","2829","2829","0.00004288831405574456","0.00004288831405574456","0.00004288831405574456","1431","1431","1431","0.0000825053866719827","0.0000825053866719827","0.0000825053866719827","594","594","594"
"3","0.000009526851499686018","0.000009526851499686018","0.000009526851499686018","7493","7493","7493","0.000012326807336648926","0.000012326807336648926","0.000012326807336648926","5629","5629","5629","0.0000179594771907432","0.0000179594771907432","0.0000179594771907432","3769","3769","3769","0.000029788850952172652","0.000029788850952172652","0.000029788850952172652","1905","1905","1905","0.000055583986977580935","0.000055583986977580935","0.000055583986977580935","789","789","789"
"4","0.0000073687306212377734","0.0000073687306212377734","0.0000073687306212377734","9364","9364","9364","0.000009477984349359758","0.000009477984349359758","0.000009477984349359758","7034","7034","7034","0.00001389046519761905","0.00001389046519761905","0.00001389046519761905","4709","4709","4709","0.000024435883460682817","0.000024435883460682817","0.000024435883460682817","2379","2379","2379","0.00004627969610737637","0.00004627969610737637","0.00004627969610737637","984","984","984"
"5","0.0000060386159930203576","0.0000060386159930203576","0.0000060386159930203576","11235","11235","11235","0.000008257452464022208","0.000008257452464022208","0.000008257452464022208","8439","8439","8439","0.000011580156751733739","0.000011580156751733739","0.000011580156751733739","5649","5649","5649","0.000021111767637194134","0.000021111767637194134","0.000021111767637194134","2853","2853","2853","0.000038511654565809295","0.000038511654565809295","0.000038511654565809295","1179","1179","1179"
"6","0.000005244959083938738","0.000005244959083938738","0.000005244959083938738","13106","13106","13106","0.000006956416200409876","0.000006956416200409876","0.000006956416200409876","9844","9844","9844","0.000009781056178326253","0.000009781056178326253","0.000009781056178326253","6589","6589","6589","0.000018401091438136064","0.000018401091438136064","0.000018401091438136064","3327","3327","3327","0.000035350753023521975","0.000035350753023521975","0.000035350753023521975","1374","1374","1374"
"7","0.000004646376055461587","0.000004646376055461587","0.000004646376055461587","14977","14977","14977","0.000005881634933757596","0.000005881634933757596","0.000005881634933757596","11249","11249","11249","0.000009023790880746674","0.000009023790880746674","0.000009023790880746674","7529","7529","7529","0.000016699263142072596","0.000016699263142072596","0.000016699263142072596","3801","3801","3801","0.000032832049328135327","0.000032832049328135327","0.000032832049328135327","1569","1569","1569"
"8","0.000004050561528856633","0.000004050561528856633","0.000004050561528856633","16848","16848","16848","0.000005491891442943597","0.000005491891442943597","0.000005491891442943597","12654","12654","12654","0.000008493832865497097","0.000008493832865497097","0.000008493832865497097","8469","8469","8469","0.000014595781976822764","0.000014595781976822764","0.000014595781976822764","4275","4275","4275","0.00003227583511034027","0.00003227583511034027","0.00003227583511034027","1764","1764","1764"
"9","0.000003610001385823125","0.000003610001385823125","0.000003610001385823125","18719","18719","18719","0.0000045587394197355025","0.0000045587394197355025","0.0000045587394197355025","14059","14059","14059","0.000007177222869358957","0.000007177222869358957","0.000007177222869358957","9409","9409","9409","0.000014219394870451652","0.000014219394870451652","0.000014219394870451652","4749","4749","4749","0.000025888983145705424","0.000025888983145705424","0.000025888983145705424","1959","1959","1959"
"10","0.0000032020984690461773","0.0000032020984690461773","0.0000032020984690461773","20595","20595","20595","0.000004190623712929664","0.000004190623712929664","0.000004190623712929664","15469","15469","15469","0.000006508482783829095","0.000006508482783829095","0.000006508482783829095","10354","10354","10354","0.000012362183952063788","0.000012362183952063788","0.000012362183952063788","5228","5228","5228","0.00002550568933656905","0.00002550568933656905","0.00002550568933656905","2159","2159","2159"
