model,sigma_bin,sigma_mean,median,q25,q75,mean,n
40dt sub1 MP1,"(6.248, 6.957]",6.527279439747662,0.75995332,0.7357896688888889,0.81969008,0.7660965218803419,13
40dt sub1 MP1,"(6.957, 7.66]",7.256288104587184,0.7574601727777778,0.7409549116666666,0.7673543997222223,0.7508491386111111,4
40dt sub1 MP1,"(7.66, 8.363]",8.100655740898025,0.67704398,0.6584173066666666,0.7188966191666666,0.6865874499629628,6
40dt sub1 MP1,"(8.363, 9.066]",8.669316152039855,0.6632225716666666,0.6478507625,0.6788750250000001,0.6584984145138889,8
40dt sub1 MP1,"(9.066, 9.769]",9.427637418535094,0.6590926922222222,0.6435992088888889,0.6594696155555556,0.6469365137777778,5
40dt sub1 MP1,"(9.769, 10.472]",10.260200504839837,0.6552455838888889,0.64307065,0.6831516377777778,0.6496359181481481,6
40dt sub1 MP1,"(10.472, 11.175]",10.913109279855993,0.6545406855555556,0.6459306588888889,0.6934363466666666,0.6632040571111111,5
40dt sub1 MP1,"(11.175, 11.877]",11.503218043435652,0.6677585477777778,0.6428607322222222,0.67434003,0.6555476588888889,3
40dt sub2 MP1,"(6.248, 6.957]",6.527279439747662,0.5479524255555556,0.4255823418888889,0.5759673133333334,0.5036803708290598,13
40dt sub2 MP1,"(6.957, 7.66]",7.256288104587184,0.5355855561111111,0.5170349374166666,0.5460396830555555,0.5274890643611111,4
40dt sub2 MP1,"(7.66, 8.363]",8.100655740898025,0.411549978,0.39618879583333333,0.4592020923333333,0.4081264634074074,6
40dt sub2 MP1,"(8.363, 9.066]",8.669316152039855,0.33990330611111114,0.29154567225,0.42445047999999996,0.356141700325,8
40dt sub2 MP1,"(9.066, 9.769]",9.427637418535094,0.39163337444444446,0.36375698844444443,0.40164895,0.3815191470222222,5
40dt sub2 MP1,"(9.769, 10.472]",10.260200504839837,0.4166246222222222,0.36941627805555555,0.4616546368055556,0.45041257277777774,6
40dt sub2 MP1,"(10.472, 11.175]",10.913109279855993,0.4656259949999999,0.44027208633333337,0.6206360366666667,0.511365400911111,5
40dt sub2 MP1,"(11.175, 11.877]",11.503218043435652,0.5159085666666666,0.476698625,0.5698784672222222,0.5257485392592592,3
40dt sub2 MP2,"(6.248, 6.957]",6.527279439747662,0.7319544655555555,0.6774400866666667,0.7600697555555556,0.6978939973760684,13
40dt sub2 MP2,"(6.957, 7.66]",7.256288104587184,0.7301536981111111,0.7208141355555555,0.7440739227222222,0.7347343601666667,4
40dt sub2 MP2,"(7.66, 8.363]",8.100655740898025,0.6855862538888888,0.6604594319444445,0.7218550258333334,0.6883474944444444,6
40dt sub2 MP2,"(8.363, 9.066]",8.669316152039855,0.6706095478555556,0.6368441333333333,0.6985137847222223,0.6683297552416667,8
40dt sub2 MP2,"(9.066, 9.769]",9.427637418535094,0.6738351911111111,0.6667405444444445,0.7041741233333334,0.6847190391111111,5
40dt sub2 MP2,"(9.769, 10.472]",10.260200504839837,0.678281315,0.6725561309444444,0.7290753330555555,0.6750019736666667,6
40dt sub2 MP2,"(10.472, 11.175]",10.913109279855993,0.67570421,0.6426197977777778,0.6825645877777777,0.6773445248888889,5
40dt sub2 MP2,"(11.175, 11.877]",11.503218043435652,0.6954239799999999,0.6833630566666666,0.7004661216666667,0.6907447922222222,3
